Jobkey,Jobtitle,Company,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
5b3701a6dc449192,Data Scientist,Eversight,Palo Alto,CA,US,"Palo Alto, CA","Sat, 03 Jun 2017 06:34:21 GMT","2+ years of relevant experience in analytics, data mining and experimentation with direct impact on business value....",http://www.indeed.com/viewjob?jk=5b3701a6dc449192&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL7RQrettf90mDkASKSfa4mZ&indpubnum=3864921654995829&atk=1bibehgdd1fac25k,37.43956,-122.14286,8 days ago
473fa519bf1d9b78,Data Scientist,Elementum,Mountain View,CA,US,"Mountain View, CA","Sat, 03 Jun 2017 06:43:49 GMT","Experience developing machine learning, NLP and statistical models for real-world problems using ML algorithms/packages, R, Python or other machine learning...",http://www.indeed.com/viewjob?jk=473fa519bf1d9b78&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL7RQrettf90mDkASKSfa4mZ&indpubnum=3864921654995829&atk=1bibehgdd1fac25k,37.384617,-122.08242,8 days ago
af0f87f417a913c8,Data Scientist,"Astreya Partners, Inc.",Mountain View,CA,US,"Mountain View, CA","Sat, 03 Jun 2017 01:46:59 GMT",Develop machine learning and data mining algorithms for analyzing. 4+ years of hands on experience in machine learning and data mining....,http://www.indeed.com/viewjob?jk=af0f87f417a913c8&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL7RQrettf90mDkASKSfa4mZ&indpubnum=3864921654995829&atk=1bibehgdd1fac25k,37.384617,-122.08242,8 days ago
c0402a3a1b6a1c50,Data Scientist,Guardian Analytics Inc.,Mountain View,CA,US,"Mountain View, CA","Thu, 18 May 2017 16:24:40 GMT","Guardian Analytics is seeking engineers, mathematicians/statisticians, and computer scientists to develop, analyze and program cutting-edge algorithms based on...",http://www.indeed.com/viewjob?jk=c0402a3a1b6a1c50&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL7RQrettf90mDkASKSfa4mZ&indpubnum=3864921654995829&atk=1bibehgdd1fac25k,37.39974,-122.1083,23 days ago
7f731251a1b21e7b,Product Data Scientist,Yummly,Redwood City,CA,US,"Redwood City, CA","Sat, 10 Jun 2017 02:29:42 GMT","Proficient with common BI and tracking, analytics, and visualization tools (Google Analytics, Optimizely, Looker, MixPanel, etc.)....",http://www.indeed.com/viewjob?jk=7f731251a1b21e7b&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL7RQrettf90mDkASKSfa4mZ&indpubnum=3864921654995829&atk=1bibehgdd1fac25k,37.488384,-122.2257,1 day ago
549cc637b5bfa896,Data Scientist,Veear Projects,Palo Alto,CA,US,"Palo Alto, CA","Thu, 01 Jun 2017 17:52:15 GMT"," Experience using one or more data analytics tools:. Our client is seeking for Data Scientist Engineer - Palo Alto,CA....",http://www.indeed.com/viewjob?jk=549cc637b5bfa896&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.43956,-122.14286,9 days ago
e9a5ee3fcbe45d05,Data Scientist,Wittaff,San Francisco Bay Area,CA,US,"San Francisco Bay Area, CA","Fri, 09 Jun 2017 19:57:21 GMT","Deep knowledge in optimal computational environment required for data processing, data mining and machine learning·....",http://www.indeed.com/viewjob?jk=e9a5ee3fcbe45d05&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.826923,-122.29121,1 day ago
3aa01e909eb5ff40,Data Scientist,Salesforce,San Francisco,CA,US,"San Francisco, CA","Wed, 17 May 2017 23:27:52 GMT","Heavy experience in data analytics (5+ years or equivalent) - knowledge of varied statistical or algorithmic techniques &amp; data manipulation tools, applied to...",http://www.indeed.com/viewjob?jk=3aa01e909eb5ff40&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.774727,-122.41758,24 days ago
1d233270204e629e,Data Scientist - Data Insights,Eventbrite,San Francisco,CA,US,"San Francisco, CA","Sat, 10 Jun 2017 08:46:34 GMT","We sit in a strategic role working to make sense of our structured and unstructured customer data with sophisticated models and data mining techniques, in-depth...",http://www.indeed.com/viewjob?jk=1d233270204e629e&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.77523,-122.39964,1 day ago
a114e730653950a0,Data Scientist,Ancestry,San Francisco,CA,US,"San Francisco, CA","Sat, 10 Jun 2017 03:10:07 GMT","By joining this data science team, you will be a member of the global Data Science &amp; Machine Learning Team, tackling our toughest and most exciting data science...",http://www.indeed.com/viewjob?jk=a114e730653950a0&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.774727,-122.41758,1 day ago
f9dd48e02cb501f5,Data Scientist,Cruise,San Francisco,CA,US,"San Francisco, CA","Fri, 09 Jun 2017 22:24:00 GMT","In this role, you will analyze petabytes of time-series data to both describe the whole-system performance along dimensions relevant to safety and identify long...",http://www.indeed.com/viewjob?jk=f9dd48e02cb501f5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.774727,-122.41758,1 day ago
4a8ca28dbf48adcb,Data Scientist,Sun Basket,San Francisco,CA,US,"San Francisco, CA","Fri, 09 Jun 2017 02:47:07 GMT","2-3 years of professional experience with data processing, database programming and data analytics (MySQL, RedShift, Hibernate)....",http://www.indeed.com/viewjob?jk=4a8ca28dbf48adcb&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.774727,-122.41758,2 days ago
c2ea7dce8c9190bc,Data Scientist,SAP,Palo Alto,CA,US,"Palo Alto, CA","Tue, 11 Apr 2017 22:03:20 GMT","3 years’ professional experience in statistical modeling, machine learning, or data mining practice. As a Data Scientist , you will work in a team of experience...",http://www.indeed.com/viewjob?jk=c2ea7dce8c9190bc&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.43956,-122.14286,30+ days ago
0ec98c277824b1a5,Data Scientist,NinthDecimal,Mountain View,CA,US,"Mountain View, CA","Sat, 10 Jun 2017 06:54:27 GMT","As NinthDecimal continues to advance its position as a leader in Measurement, Insights and Analytics for Marketing and Advertising industry, it’s crucial to...",http://www.indeed.com/viewjob?jk=0ec98c277824b1a5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.384617,-122.08242,1 day ago
d8eec5bc733a034c,Data Scientist,Tapjoy,San Francisco,CA,US,"San Francisco, CA","Mon, 05 Jun 2017 14:27:31 GMT","Strong understanding of Algorithms, Data Structures and Machine Learning / Data Mining. Position Title - Data Scientist....",http://www.indeed.com/viewjob?jk=d8eec5bc733a034c&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.78976,-122.40253,5 days ago
7b8e12fc0a0e9bc2,Data Scientist,Tinder,Palo Alto,CA,US,"Palo Alto, CA","Thu, 08 Jun 2017 00:22:06 GMT","Comprehensive health coverage, competitive salary, 401(k) match and meaningful equity. We’re looking for incredibly passionate data people who live, breathe,...",http://www.indeed.com/viewjob?jk=7b8e12fc0a0e9bc2&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.43956,-122.14286,3 days ago
033639b5f6d0a390,Data Scientist,Blend Labs,San Francisco,CA,US,"San Francisco, CA","Wed, 24 May 2017 19:39:37 GMT","Our ideal Data Scientist has experience working in SQL, is familiar with Python or R, and understands statistics....",http://www.indeed.com/viewjob?jk=033639b5f6d0a390&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.776352,-122.41416,17 days ago
4559bc68efb85d8d,Product Data Analyst,Twitter,San Francisco,CA,US,"San Francisco, CA","Wed, 24 May 2017 10:06:06 GMT","Strong proficiency with SQL, some experience with scripting languages such as Python or R, and data visualization....",http://www.indeed.com/viewjob?jk=4559bc68efb85d8d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.77629,-122.416245,18 days ago
6e45124a242f853f,Data Scientist 1,Stanford University,Stanford,CA,US,"Stanford, CA","Thu, 25 May 2017 08:55:50 GMT","Researches, develops, and optimizes predictive models using data science, machine learning, and statistical inference techniques for advanced analytics across...",http://www.indeed.com/viewjob?jk=6e45124a242f853f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.428974,-122.17601,17 days ago
455f7baf065ee174,Data Scientist,LendingHome,San Francisco,CA,US,"San Francisco, CA","Sun, 04 Jun 2017 02:56:26 GMT","Build production grade machine learning pipelines and data products that solve critical, complex problems and deliver business value....",http://www.indeed.com/viewjob?jk=455f7baf065ee174&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.774727,-122.41758,7 days ago
f05600d63106bbb8,Python Data Engineer,SymphonyRM,Palo Alto,CA,US,"Palo Alto, CA","Fri, 19 May 2017 02:40:39 GMT","Perform analysis on a variety of data sets to discover new insights, help clients understand trends in key metrics, and answer questions with data....",http://www.indeed.com/viewjob?jk=f05600d63106bbb8&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.43956,-122.14286,23 days ago
983701ff32259a84,Data Scientist,ClearMotion,San Francisco,CA,US,"San Francisco, CA","Fri, 02 Jun 2017 10:38:14 GMT",ClearMotion is hiring research and development scientists to design solutions and prototype machine learning techniques to push the capability of our system....,http://www.indeed.com/viewjob?jk=983701ff32259a84&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.774727,-122.41758,9 days ago
56560d55e2a43d3f,Decision Scientist,Facebook,Menlo Park,CA,US,"Menlo Park, CA","Fri, 02 Jun 2017 05:52:15 GMT","Design and implement reporting dashboards that track key metrics and performance trends, and provide actionable insights to marketing leadership....",http://www.indeed.com/viewjob?jk=56560d55e2a43d3f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.453297,-122.18132,9 days ago
dd4e8c6cab812123,Data Scientist,Thumbtack,San Francisco,CA,US,"San Francisco, CA","Sat, 18 Mar 2017 05:50:30 GMT","We're looking for data scientists with deep expertise in statistics, machine learning, optimization, and/or building data products....",http://www.indeed.com/viewjob?jk=dd4e8c6cab812123&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.774727,-122.41758,30+ days ago
5b3701a6dc449192,Data Scientist,Eversight,Palo Alto,CA,US,"Palo Alto, CA","Sat, 03 Jun 2017 06:34:21 GMT","2+ years of relevant experience in analytics, data mining and experimentation with direct impact on business value....",http://www.indeed.com/viewjob?jk=5b3701a6dc449192&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.43956,-122.14286,8 days ago
473fa519bf1d9b78,Data Scientist,Elementum,Mountain View,CA,US,"Mountain View, CA","Sat, 03 Jun 2017 06:43:49 GMT","Experience developing machine learning, NLP and statistical models for real-world problems using ML algorithms/packages, R, Python or other machine learning...",http://www.indeed.com/viewjob?jk=473fa519bf1d9b78&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.384617,-122.08242,8 days ago
af0f87f417a913c8,Data Scientist,"Astreya Partners, Inc.",Mountain View,CA,US,"Mountain View, CA","Sat, 03 Jun 2017 01:46:59 GMT",Develop machine learning and data mining algorithms for analyzing. 4+ years of hands on experience in machine learning and data mining....,http://www.indeed.com/viewjob?jk=af0f87f417a913c8&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.384617,-122.08242,8 days ago
c0402a3a1b6a1c50,Data Scientist,Guardian Analytics Inc.,Mountain View,CA,US,"Mountain View, CA","Thu, 18 May 2017 16:24:40 GMT","Guardian Analytics is seeking engineers, mathematicians/statisticians, and computer scientists to develop, analyze and program cutting-edge algorithms based on...",http://www.indeed.com/viewjob?jk=c0402a3a1b6a1c50&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.39974,-122.1083,23 days ago
7f731251a1b21e7b,Product Data Scientist,Yummly,Redwood City,CA,US,"Redwood City, CA","Sat, 10 Jun 2017 02:29:42 GMT","Proficient with common BI and tracking, analytics, and visualization tools (Google Analytics, Optimizely, Looker, MixPanel, etc.)....",http://www.indeed.com/viewjob?jk=7f731251a1b21e7b&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.488384,-122.2257,1 day ago
c917fba3fc4ca7fe,Data Scientist,Yelp,San Francisco,CA,US,"San Francisco, CA","Tue, 30 May 2017 09:03:28 GMT",Endless ideas about how to leverage Yelp's unique data set. Interested in applying? In this role you’ll be tackling a variety of projects ranging from design...,http://www.indeed.com/viewjob?jk=c917fba3fc4ca7fe&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL47M1KJeg4kdwUcFsZW1llX&indpubnum=3864921654995829&atk=1bibehkba1fgo16q,37.786613,-122.4,12 days ago
e9a5ee3fcbe45d05,Data Scientist,Wittaff,San Francisco Bay Area,CA,US,"San Francisco Bay Area, CA","Fri, 09 Jun 2017 19:57:21 GMT","Deep knowledge in optimal computational environment required for data processing, data mining and machine learning·....",http://www.indeed.com/viewjob?jk=e9a5ee3fcbe45d05&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL73VOUPsKc4Me4dDZFLRgy3&indpubnum=3864921654995829&atk=1bibehosn1e7j6il,37.826923,-122.29121,1 day ago
3aa01e909eb5ff40,Data Scientist,Salesforce,San Francisco,CA,US,"San Francisco, CA","Wed, 17 May 2017 23:27:52 GMT","Heavy experience in data analytics (5+ years or equivalent) - knowledge of varied statistical or algorithmic techniques &amp; data manipulation tools, applied to...",http://www.indeed.com/viewjob?jk=3aa01e909eb5ff40&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL73VOUPsKc4Me4dDZFLRgy3&indpubnum=3864921654995829&atk=1bibehosn1e7j6il,37.774727,-122.41758,24 days ago
1d233270204e629e,Data Scientist - Data Insights,Eventbrite,San Francisco,CA,US,"San Francisco, CA","Sat, 10 Jun 2017 08:46:34 GMT","We sit in a strategic role working to make sense of our structured and unstructured customer data with sophisticated models and data mining techniques, in-depth...",http://www.indeed.com/viewjob?jk=1d233270204e629e&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL73VOUPsKc4Me4dDZFLRgy3&indpubnum=3864921654995829&atk=1bibehosn1e7j6il,37.77523,-122.39964,1 day ago
a114e730653950a0,Data Scientist,Ancestry,San Francisco,CA,US,"San Francisco, CA","Sat, 10 Jun 2017 03:10:07 GMT","By joining this data science team, you will be a member of the global Data Science &amp; Machine Learning Team, tackling our toughest and most exciting data science...",http://www.indeed.com/viewjob?jk=a114e730653950a0&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL73VOUPsKc4Me4dDZFLRgy3&indpubnum=3864921654995829&atk=1bibehosn1e7j6il,37.774727,-122.41758,1 day ago
f9dd48e02cb501f5,Data Scientist,Cruise,San Francisco,CA,US,"San Francisco, CA","Fri, 09 Jun 2017 22:24:00 GMT","In this role, you will analyze petabytes of time-series data to both describe the whole-system performance along dimensions relevant to safety and identify long...",http://www.indeed.com/viewjob?jk=f9dd48e02cb501f5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL73VOUPsKc4Me4dDZFLRgy3&indpubnum=3864921654995829&atk=1bibehosn1e7j6il,37.774727,-122.41758,1 day ago
4a8ca28dbf48adcb,Data Scientist,Sun Basket,San Francisco,CA,US,"San Francisco, CA","Fri, 09 Jun 2017 02:47:07 GMT","2-3 years of professional experience with data processing, database programming and data analytics (MySQL, RedShift, Hibernate)....",http://www.indeed.com/viewjob?jk=4a8ca28dbf48adcb&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PF99BKVcs3YfEl1HphPQYJB7XKvyGDlDJRpJoTJTWNcyY-NBrtZ2x99bPdJFLyL73VOUPsKc4Me4dDZFLRgy3&indpubnum=3864921654995829&atk=1bibehosn1e7j6il,37.774727,-122.41758,2 days ago
